file,rp/Rs,a/Rs,inc,period
tess2022302161335-s0058-0000000292321872-0247-s_tp.fits,0.14220820636456294,11.804913762861501,85.613143750727,14.936999999998575
tess2021204101404-s0041-0000000138588540-0212-a_fast-tp.fits,0.25706756119462565,51.411050596958994,84.97680315314548,8.032999999999335
tess2022217014003-s0055-0000000165523947-0242-s_tp.fits,0.2451656844028752,52.51486249098655,85.07078036297614,7.36499999999941
tess2018206045859-s0001-0000000410153553-0120-s_tp.fits,0.2466490349831167,16.66068167977354,85.95059613701206,8.564999999999277
tess2019140104343-s0012-0000000016288184-0144-s_tp.fits,0.24331095343580897,29.4999295061869,87.68851872735472,14.987999999998571
tess2021364111932-s0047-0000000147576037-0218-s_tp.fits,0.21926560867996708,35.1683188795649,87.79759133965767,14.942999999998575
tess2021204101404-s0041-0000000277014266-0212-s_tp.fits,0.2450080608493746,48.325070396524,84.88752769865339,4.54599999999972
tess2020020091053-s0021-0000000232967666-0167-s_tp.fits,0.2554701125757962,53.332939000372185,85.12564571740471,10.851999999999025
tess2022217014003-s0055-0000000195199644-0242-s_tp.fits,0.24417720678175472,53.481425900454056,84.72352437319208,14.119999999998667
tess2021175071901-s0040-0000000379931600-0211-s_tp.fits,0.02285010914604834,41.11997964015555,88.71598969374271,9.142999999999214
tess2020212050318-s0028-0000000355636844-0190-s_tp.fits,0.25943333564821597,50.614733830863024,85.17623672888291,13.879999999998692
tess2021232031932-s0042-0000000243185500-0213-s_tp.fits,0.1490734067862419,12.419021680850067,84.82080011420643,12.729999999998817
tess2020186164531-s0027-0000000271581073-0189-a_fast-tp.fits,0.24734406640820486,52.92066341670947,85.15663064247947,5.340999999999632
tess2021014023720-s0034-0000000065212867-0204-a_fast-tp.fits,0.021947655378532126,3.8249256736445725,85.53143197903887,12.580999999998834
tess2021175071901-s0040-0000000112026224-0211-s_tp.fits,0.166152624505443,50.18531677254286,85.83644282385544,7.983999999999341
tess2021204101404-s0041-0000000147576037-0212-s_tp.fits,0.1725709902014474,22.50635535389976,87.10362780505923,13.850999999998697
tess2019169103026-s0013-0000000158297421-0146-s_tp.fits,0.21807041246786216,37.161351684000635,89.5670448957022,13.864999999998691
tess2019140104343-s0012-0000000406976746-0144-s_tp.fits,0.1956802212867021,47.121955550100886,85.90652561760999,9.54299999999917
tess2024058030222-s0076-0000000468845640-0271-s_tp.fits,0.2452744979328563,50.57993045836818,84.75754705853072,10.105999999999106
tess2022244194134-s0056-0000000128501004-0243-s_tp.fits,0.06896598298797028,5.980086286842207,80.64968510461775,2.3689999999999594
tess2018234235059-s0002-0000000069747919-0121-s_tp.fits,0.2499291489794945,51.850189447444365,84.97892741826229,12.380999999998856
tess2021118034608-s0038-0000000136274063-0209-a_fast-tp.fits,0.028958300190837404,64.19258036774555,88.97168021420651,14.627999999998607
tess2021175071901-s0040-0000000147576037-0211-s_tp.fits,0.026050707749774863,50.938578412134895,89.24292344382661,13.093999999998779
tess2019198215352-s0014-0000000153949511-0150-s_tp.fits,0.03464210994498688,51.266750501943456,88.23741437474436,13.054999999998783
tess2022217014003-s0055-0000000468472950-0242-s_tp.fits,0.2527824624002655,48.311596647278364,84.92733563611218,14.184999999998658
tess2021091135823-s0037-0000000375225453-0208-a_fast-tp.fits,0.2023961637488633,46.46298343331453,85.05080479239685,13.310999999998755
tess2019226182529-s0015-0000000286923464-0151-s_tp.fits,0.02912553720397813,8.46724194546779,84.45994892381297,10.250999999999092
tess2022217014003-s0055-0000000136971594-0242-s_tp.fits,0.24848131833279652,49.99002820645388,84.92589201427258,13.930999999998686
tess2024058030222-s0076-0000000387664866-0271-s_tp.fits,0.011263589096415894,5.523708905492899,86.53783864705704,14.771999999998595
tess2018206045859-s0001-0000000144065872-0120-s_tp.fits,0.09242518240672787,4.352520938749237,80.007338100558,2.1849999999999796
tess2019198215352-s0014-0000000142276270-0150-s_tp.fits,0.24228008204340173,53.08524633182117,84.82516841532937,12.638999999998829
tess2024300212641-s0085-0000000285666479-0282-s_tp.fits,0.03546369174105861,9.490873227589358,87.41389439872643,11.833999999998914
tess2024058030222-s0076-0000000345996087-0271-s_tp.fits,0.24594546561976652,51.362249234348596,84.92099481427587,2.279999999999969
tess2022330142927-s0059-0000000285677945-0248-a_fast-tp.fits,0.2572672669830243,51.158771942363714,85.15563694509362,2.0069999999999992
tess2020266004630-s0030-0000000220518305-0195-s_tp.fits,0.03352584376579466,30.5357350997401,88.88118042131424,14.177999999998656
tess2022217014003-s0055-0000000356158613-0242-s_tp.fits,0.25976597308990595,49.87824959021913,84.82085084301032,13.500999999998733
tess2019198215352-s0014-0000000356867115-0150-s_tp.fits,0.2563612812158423,51.92803111585698,84.83081396114167,11.504999999998953
tess2019085135100-s0010-0000000260647166-0140-s_tp.fits,0.24295122585435425,48.141897549256264,85.15109025687158,3.1579999999998725
tess2019198215352-s0014-0000000158561566-0150-s_tp.fits,0.2372239389038412,53.276617048306825,85.0228749923576,14.16799999999866
tess2019279210107-s0017-0000000233617847-0161-s_tp.fits,0.0562153314843791,5.682798795535582,80.42845825809651,12.896999999998798
tess2018206045859-s0001-0000000050309953-0120-s_tp.fits,0.25207472566586253,52.90766972143457,84.90807334978075,11.543999999998949
tess2021146024351-s0039-0000000360630575-0210-a_fast-tp.fits,0.2420101071576164,50.95283118181746,85.12968994066796,7.106999999999437
tess2024114025118-s0078-0000000387834907-0273-s_tp.fits,0.07794016531263402,7.18278012571358,81.85261405847443,13.395999999998745
tess2021204101404-s0041-0000000089510024-0212-s_tp.fits,0.25456941129898614,50.4523410741735,84.97120834707579,9.923999999999127
tess2020212050318-s0028-0000000322307342-0190-a_fast-tp.fits,0.24392951742101388,51.86092438059723,85.23181053078245,11.753999999998925
tess2019306063752-s0018-0000000249945230-0162-s_tp.fits,0.25138418419889663,52.18493938907941,85.08347450083866,7.243999999999423
tess2019198215352-s0014-0000000467179528-0150-s_tp.fits,0.2530920380903055,52.01812537491343,85.17551280305864,13.958999999998682
tess2019112060037-s0011-0000000260647166-0143-s_tp.fits,0.016723052684153163,37.00919012823166,89.15634597645739,13.254999999998763
tess2022217014003-s0055-0000000274170255-0242-s_tp.fits,0.013767903229479898,13.893113826252875,88.14781061711487,14.23999999999865
tess2019226182529-s0015-0000000256886630-0151-s_tp.fits,0.01839721613019535,6.436607025655691,86.38547991139188,14.310999999998645
tess2020133194932-s0025-0000000258514800-0182-s_tp.fits,0.2506385464560507,49.898784103909676,84.9757354110487,9.17099999999921
tess2019226182529-s0015-0000000274662200-0151-s_tp.fits,0.1485188923363644,25.96835219387855,87.65966351651696,13.925999999998687
